client_id,sess_id,timeoff
405.00,0.00,622.00
407.00,0.00,1275.00
410.00,0.00,427.00
410.00,1.00,1100.00
410.00,2.00,411.00
410.00,3.00,2148.00
410.00,4.00,3058.00
414.00,0.00,942.00
419.00,0.00,1541.00
419.00,1.00,180.00
421.00,0.00,1453.00
425.00,0.00,507.00
425.00,1.00,1094.00
428.00,0.00,1088.00
429.00,0.00,319.00
439.00,0.00,267.00
440.00,0.00,915.00
440.00,1.00,8600.00
440.00,2.00,615.00
440.00,3.00,467.00
440.00,4.00,1542.00
440.00,5.00,667.00
440.00,6.00,5503.00
441.00,0.00,6331.00
441.00,1.00,2289.00
445.00,0.00,537.00
445.00,1.00,6070.00
445.00,2.00,1272.00
446.00,0.00,1560.00
446.00,1.00,578.00
446.00,2.00,922.00
446.00,3.00,272.00
446.00,4.00,1012.00
446.00,5.00,279.00
448.00,0.00,911.00
450.00,0.00,1145.00
450.00,1.00,317.00
453.00,0.00,695.00
455.00,0.00,2840.00
464.00,0.00,1363.00
464.00,1.00,348.00
464.00,2.00,2539.00
464.00,3.00,396.00
467.00,0.00,58242.00
469.00,0.00,207.00
469.00,1.00,410.00
469.00,2.00,294.00
469.00,3.00,1098.00
470.00,0.00,2749.00
473.00,0.00,4842.00
473.00,1.00,324.00
476.00,0.00,229.00
476.00,1.00,3069.00
476.00,2.00,3828.00
476.00,3.00,820.00
479.00,0.00,1182.00
479.00,1.00,186.00
480.00,0.00,3175.00
480.00,1.00,209.00
482.00,0.00,7952.00
482.00,1.00,1056.00
485.00,0.00,322.00
493.00,0.00,370.00
495.00,0.00,4196.00
499.00,0.00,218.00
502.00,0.00,840.00
503.00,0.00,3787.00
505.00,0.00,2445.00
506.00,0.00,448.00
508.00,0.00,9532.00
508.00,1.00,1231.00
517.00,0.00,267.00
525.00,0.00,872.00
530.00,0.00,182.00
534.00,0.00,467.00
534.00,1.00,457.00
536.00,0.00,1555.00
540.00,0.00,362.00
543.00,0.00,546.00
