client_id,sess_id,avg_bitrate,session_data,q264,q396,q594,q891,q1337,q2085,q3127
0.00,0.00,264.00,30360.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,264.00,63360.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00
2.00,0.00,303.19,24255.00,15.00,0.00,0.00,1.00,0.00,0.00,0.00
3.00,0.00,264.00,54120.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00
4.00,0.00,264.00,19800.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00
5.00,0.00,264.00,118800.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00
6.00,0.00,294.21,208890.00,132.00,4.00,0.00,6.00,0.00,0.00,0.00
7.00,0.00,264.00,46200.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00
8.00,0.00,365.20,109560.00,14.00,46.00,0.00,0.00,0.00,0.00,0.00
9.00,0.00,264.00,6600.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00
10.00,0.00,264.00,73920.00,56.00,0.00,0.00,0.00,0.00,0.00,0.00
11.00,0.00,662.16,62905.00,6.00,6.00,2.00,0.00,4.00,1.00,0.00
12.00,0.00,384.73,78870.00,26.00,9.00,0.00,6.00,0.00,0.00,0.00
13.00,0.00,264.00,54120.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00
14.00,0.00,264.00,15840.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00
15.00,0.00,264.00,13200.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00
16.00,0.00,264.00,44880.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00
17.00,0.00,364.08,1205095.00,447.00,160.00,34.00,3.00,1.00,17.00,0.00
18.00,0.00,342.00,37620.00,9.00,13.00,0.00,0.00,0.00,0.00,0.00
19.00,0.00,264.00,22440.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00
20.00,0.00,264.00,79200.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00
21.00,0.00,264.00,31680.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00
22.00,0.00,280.35,458380.00,315.00,8.00,0.00,0.00,4.00,0.00,0.00
23.00,0.00,332.59,673500.00,339.00,48.00,6.00,2.00,0.00,10.00,0.00
24.00,0.00,310.27,150480.00,63.00,34.00,0.00,0.00,0.00,0.00,0.00
25.00,0.00,264.00,26400.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00
26.00,0.00,333.08,632850.00,300.00,61.00,11.00,0.00,0.00,8.00,0.00
27.00,0.00,291.50,69960.00,38.00,10.00,0.00,0.00,0.00,0.00,0.00
28.00,0.00,344.07,104940.00,24.00,37.00,0.00,0.00,0.00,0.00,0.00
29.00,0.00,264.00,27720.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00
30.00,0.00,587.12,99810.00,26.00,0.00,0.00,3.00,0.00,5.00,0.00
31.00,0.00,264.00,13200.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00
32.00,0.00,323.05,61380.00,21.00,17.00,0.00,0.00,0.00,0.00,0.00
33.00,0.00,264.00,13200.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00
34.00,0.00,310.59,52800.00,22.00,12.00,0.00,0.00,0.00,0.00,0.00
35.00,0.00,303.91,65340.00,30.00,13.00,0.00,0.00,0.00,0.00,0.00
36.00,0.00,264.00,15840.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00
37.00,0.00,274.56,34320.00,23.00,2.00,0.00,0.00,0.00,0.00,0.00
38.00,0.00,290.81,186120.00,102.00,26.00,0.00,0.00,0.00,0.00,0.00
39.00,0.00,319.06,82955.00,51.00,0.00,0.00,0.00,0.00,0.00,1.00
40.00,0.00,264.00,17160.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00
41.00,0.00,311.79,173045.00,99.00,6.00,5.00,0.00,0.00,0.00,1.00
42.00,0.00,264.00,19800.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00
43.00,0.00,318.17,52388090.00,26863.00,5019.00,441.00,85.00,150.00,294.00,79.00
44.00,0.00,264.00,9240.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00
45.00,0.00,264.00,19800.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00
46.00,0.00,264.00,14520.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00
47.00,0.00,264.00,54120.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00
48.00,0.00,405.20,249195.00,81.00,35.00,0.00,0.00,0.00,7.00,0.00
49.00,0.00,329.46,444765.00,244.00,15.00,0.00,2.00,4.00,4.00,1.00
50.00,0.00,264.00,15840.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00
51.00,0.00,264.00,10560.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00
52.00,0.00,297.93,211530.00,119.00,14.00,9.00,0.00,0.00,0.00,0.00
53.00,0.00,293.41,283140.00,150.00,43.00,0.00,0.00,0.00,0.00,0.00
54.00,0.00,264.00,39600.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00
55.00,0.00,326.25,71775.00,36.00,1.00,6.00,1.00,0.00,0.00,0.00
56.00,0.00,264.00,7920.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00
57.00,0.00,272.86,203280.00,139.00,10.00,0.00,0.00,0.00,0.00,0.00
58.00,0.00,264.00,9240.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00
59.00,0.00,323.30,940800.00,471.00,86.00,15.00,0.00,0.00,10.00,0.00
60.00,0.00,264.00,51480.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00
61.00,0.00,264.00,15840.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00
62.00,0.00,264.00,18480.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00
63.00,0.00,299.04,327445.00,198.00,0.00,20.00,0.00,1.00,0.00,0.00
64.00,0.00,264.00,10560.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00
65.00,0.00,332.13,51480.00,24.00,1.00,6.00,0.00,0.00,0.00,0.00
66.00,0.00,304.43,289205.00,154.00,34.00,1.00,0.00,0.00,0.00,1.00
67.00,0.00,317.16,168095.00,84.00,21.00,0.00,0.00,0.00,0.00,1.00
68.00,0.00,264.00,21120.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00
69.00,0.00,326.25,1283810.00,657.00,88.00,20.00,8.00,8.00,0.00,6.00
70.00,0.00,298.43,68640.00,34.00,12.00,0.00,0.00,0.00,0.00,0.00
71.00,0.00,264.00,13200.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00
72.00,0.00,317.62,50820.00,19.00,13.00,0.00,0.00,0.00,0.00,0.00
73.00,0.00,264.00,6600.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00
74.00,0.00,264.00,22440.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00
75.00,0.00,264.00,22440.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00
76.00,0.00,300.79,91740.00,44.00,17.00,0.00,0.00,0.00,0.00,0.00
77.00,0.00,264.00,17160.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00
78.00,0.00,264.00,26400.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00
79.00,0.00,264.00,13200.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00
80.00,0.00,293.86,123420.00,65.00,19.00,0.00,0.00,0.00,0.00,0.00
81.00,0.00,264.00,38280.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00
82.00,0.00,347.27,130225.00,69.00,1.00,0.00,0.00,4.00,1.00,0.00
83.00,0.00,329.07,72395.00,43.00,0.00,0.00,0.00,0.00,0.00,1.00
84.00,0.00,348.86,24420.00,5.00,9.00,0.00,0.00,0.00,0.00,0.00
85.00,0.00,264.00,17160.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00
86.00,0.00,330.44,598100.00,334.00,8.00,8.00,0.00,2.00,10.00,0.00
87.00,0.00,286.50,199115.00,136.00,2.00,0.00,0.00,0.00,0.00,1.00
88.00,0.00,333.88,113520.00,32.00,36.00,0.00,0.00,0.00,0.00,0.00
89.00,0.00,276.51,131340.00,86.00,9.00,0.00,0.00,0.00,0.00,0.00
90.00,0.00,264.00,6600.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00
91.00,0.00,292.57,196020.00,105.00,29.00,0.00,0.00,0.00,0.00,0.00
92.00,0.00,286.00,25740.00,15.00,3.00,0.00,0.00,0.00,0.00,0.00
93.00,0.00,264.00,91080.00,69.00,0.00,0.00,0.00,0.00,0.00,0.00
94.00,0.00,264.00,15840.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00
